Description,Views,Likes,Comments,Shares,Bookmarks,Post URL
"THANK YOU GUYS SO MUCH FOR FOLLOWING ALONG IN MY JOURNEY!! ✨🥹 so excited for whats next to come ✨✨","57200","5659","131","24","106","https://www.tiktok.com/@ariana.ramsey/video/7402136872631242027"
"Farewell Olympic villa 🥹 Closing ceremony tonight! ","99100","5818","135","12","103","https://www.tiktok.com/@ariana.ramsey/video/7401807821597052206"
"Which one of your favorite!? y’all will definitely see me wearing that Ralph Lauren dress all the time!! #teamusakit #olympicgear #olympics #paris2024 ","40400","1463","29","12","34","https://www.tiktok.com/@ariana.ramsey/video/7401481596433435946"
"🥹🥹🥹 #healthcaregirl ","227700","21400","811","329","624","https://www.tiktok.com/@ariana.ramsey/video/7401453455673511211"
"I only got two things, but that’s literally all I needed so thank you guys so much. I love you all.🥰🥰","171000","11900","230","653","509","https://www.tiktok.com/@ariana.ramsey/video/7401238296795352366"
"My edges are screaming for help 🥹 ","131000","5968","135","47","80","https://www.tiktok.com/@ariana.ramsey/video/7401174363598261550"
"Embarassing 😂","59700","5241","62","46","45","https://www.tiktok.com/@ariana.ramsey/video/7401064664718724394"
"It’s really y’all, lol I’m the healthcare girl it’s official😂","53800","3751","87","13","45","https://www.tiktok.com/@ariana.ramsey/video/7400874609807248686"
"Shes my new best friend 🥹 what are we naming her?? #olympicmedal ","47200","2306","87","8","38","https://www.tiktok.com/@ariana.ramsey/video/7400525108378488106"
"Most things here ate a 6/10 but im tfuly grateful 🥲 #olympicvillage #olympicfood ","49700","1517","44","8","23","https://www.tiktok.com/@ariana.ramsey/video/7400499415162653995"
"These are the questions that I get asked the most of my lives! #usarugby #olympicvillage #olympics ","55600","3380","79","22","81","https://www.tiktok.com/@ariana.ramsey/video/7400137537269796138"
